id,year,"team_name","bat_name",age,games,plate_appe,at_bats,runs,hits,doubles,triples,homeruns,runs_batted_in,stolen_bases,caught_steal,walks,strikeouts,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,total_bases,grounded_double_plays,hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bb,"notes","created_at","updated_at","batter_id"
159,2016,"Yokohama Bay Stars","Jamie Romak",30,30,85,71,7,8,1,0,0,2,0,0,12,30,0.113,0.247,0.127,0.374,9,2,1,0,1,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","romak-001jam"
160,2016,"Yokohama Bay Stars","Taiki Sekine",21,70,106,98,15,20,1,1,0,7,4,4,2,18,0.204,0.235,0.235,0.47,23,0,2,4,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","sekine000tai"
161,2016,"Yokohama Bay Stars","Tatsuhiro Shibata",22,19,46,39,4,8,0,1,0,2,1,0,5,8,0.205,0.295,0.256,0.552,10,1,0,2,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","shibat000tat"
162,2016,"Yokohama Bay Stars","Tatsuya Shimozono",31,67,85,74,5,20,2,0,1,14,0,0,9,13,0.27,0.353,0.338,0.691,25,1,1,0,1,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","shimoz001tat"
163,2016,"Yokohama Bay Stars","Naoki Shirane",23,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","shiran000nao"
164,2016,"Yokohama Bay Stars","Hiroyuki Shirasaki",25,92,214,203,20,42,11,0,6,12,0,1,6,32,0.207,0.241,0.35,0.59,71,8,3,2,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","shiras000hir"
165,2016,"Yokohama Bay Stars","Yoshiki Sunada",20,17,16,14,0,2,0,0,0,1,0,0,0,8,0.143,0.143,0.143,0.286,2,0,0,2,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","sunada000yos"
166,2016,"Yokohama Bay Stars","Shuto Takajo",23,47,103,92,4,15,2,0,0,9,0,0,8,31,0.163,0.238,0.185,0.422,17,3,1,2,0,2,"","2017-09-25 13:04:44","2017-10-04 07:46:29","takajo000shu"
167,2016,"Yokohama Bay Stars","Yasutaka Tobashira",26,124,393,367,25,83,8,0,2,23,0,0,20,63,0.226,0.267,0.264,0.532,97,10,1,4,1,4,"","2017-09-25 13:04:44","2017-10-04 07:46:29","tobash000yas"
168,2016,"Yokohama Bay Stars","Yoshitomo Tsutsugo",24,133,561,469,89,151,28,4,44,110,0,1,87,105,0.322,0.43,0.68,1.11,319,6,3,0,2,1,"","2017-09-25 13:04:44","2017-10-04 07:46:29","tsutsu000yos"
169,2016,"Yokohama Bay Stars","Shun Yamaguchi",28,19,50,43,2,5,0,0,1,4,0,0,3,23,0.116,0.174,0.186,0.36,8,2,0,4,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","yamagu001shu"
